Atmospheric Sciences Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://atmoschem.asrc.cestm.albany.edu/~cloudwater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteface 2022 VALID DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABNO,DUMP TIME,COLLECTION_HOURS,COLL_HR_F,POOL_VOL ml,LWC g m-3,LWC_F,TEMP 蚓,WINDDIR_AVG 蚊Z,OCTANT,AVG_S_WSP m s-1,LABPH,LABPH_F,SPCOND 猶 cm-1,SPCOND_F,HION 畫q L-1,CA mg L-1,CA_F,CA 畫q L-1,MG mg L-1,MG_F,MG 畫q L-1,NA mg L-1,NA_F,NA 畫q L-1,K mg L-1,K_F,K 畫q L-1,NH4 mg L-1,NH4_F,NH4 畫q L-1,SO4 mg L-1,SO4_F,SO4 畫q L-1,NO3 mg L-1,NO3_F,NO3 畫q L-1,CL mg L-1,CL_F,CL 畫q L-1,TOC 痠ols C L-1,TOC_F,TN mg L-1,TN_F,COMMENT,CATION_ANION_RATIO,SUM_CATIONS 畫q L-1,SUM_ANIONS 畫q L-1,RPD,MP_TEST,MISS_MAJ_ION,Glyoxalate_ppb,Formate_ppb,AcetateGlycolate_ppb,Lactate_ppb,Malonate_ppb,Oxalate_ppb,Pyruvate_ppb,SuccinateMalate_ppb
2215304,6/2/2022 6:00,12.0,,2312,0.703,,M,217,SW,8.0,6.237,,5.9,,0.58,0.21,,10.43,0.08,,6.25,0.01,,0.35,0.04,,1.00,0.24,,13.14,0.51,,10.80,0.65,,10.45,0.03,,0.87,123.08,,,M,filtered,1.43,31.74,22.13,35.70,,,93,325,221,19,M,48,24,M
2215401,6/3/2022 18:00,6.3,,1183,0.363,,M,59,NE,7.1,5.6079998,,12.0,,2.47,0.45,,22.66,0.08,,6.17,0.02,,0.70,0.10,,2.61,0.76,,42.24,1.17,,24.83,1.73,,27.95,0.08,,2.23,365.50,,,,filtered,1.40,76.82,55.01,33.09,,,91,250,198,19,M,127,22,M
2215901,6/8/2022 18:00,7.2,,425,0.477,,M,282,W,12.8,5.9099998,,6.5,,1.23,0.20,,9.78,0.07,,5.68,0.00,,-0.22,0.12,,3.04,0.22,,12.36,0.51,,10.80,0.49,,7.87,0.06,,1.61,376.00,,,,filtered,1.57,31.87,20.28,44.45,,,90,98,72,21,M,75,22,M
2216003,6/9/2022 18:00,8.0,,1866,0.473,,M,177,S,4.7,5.2909999,,3.5,,5.12,0.05,,2.40,0.03,,2.22,0.00,,-0.13,0.06,,1.46,0.12,,6.49,0.23,,4.87,0.27,,4.37,0.02,,0.45,145.00,,,,filtered,1.81,17.51,9.69,57.50,,,0,133,83,33,M,35,0,M
2216104,6/10/2022 6:00,12.0,,4407,0.536,,M,283,W,12.8,5.145,,5.9,,7.16,-0.07,,-3.54,0.02,,1.40,0.00,,-0.09,0.03,,0.72,0.19,,10.42,0.53,,11.27,0.65,,10.48,0.02,,0.65,121.58,,,,filtered,0.72,16.02,22.40,-33.22,,,103,157,39,19,M,43,24,M
2216101,6/10/2022 18:00,11.0,,2048,0.447,,M,236,SW,9.1,5.2379999,,9.8,,5.78,0.25,,12.23,0.05,,3.87,0.02,,0.91,0.09,,2.17,0.43,,24.06,1.37,,29.11,0.96,,15.51,0.05,,1.27,297.42,,,,filtered,1.07,48.98,45.89,6.51,,,121,101,20,26,M,109,0,M
2216902,6/18/2022 6:00,9.1,,2634,0.511,,M,265,W,16.6,6.4390001,,5.3,,0.36,0.32,,15.92,0.05,,4.44,0.02,,1.00,0.09,,2.30,0.08,,4.32,0.18,,3.91,0.34,,5.44,0.02,,0.42,98.75,,,,filtered,2.90,28.35,9.77,97.48,,,M,M,M,M,M,M,M,M
2219404,7/13/2022 6:00,10.0,,3852,0.548,,M,249,W,10.1,6.1929998,,6.2,,0.64,0.16,,7.83,0.04,,3.29,0.01,,0.43,0.05,,1.25,0.34,,18.74,0.41,,8.67,0.60,,9.73,0.03,,0.71,251.08,,,,filtered,1.68,32.19,19.11,51.01,,,0,448,160,33,M,63,25,M
2219501,7/13/2022 18:00,2.4,,M,0.463,,M,274,W,8.7,5.3959999,,6.3,,4.02,0.16,,7.83,0.04,,3.62,0.05,,2.35,0.11,,2.86,0.03,,1.61,0.44,,9.25,0.48,,7.79,0.09,,2.48,778.00,,,,filtered,1.14,22.27,19.52,13.14,,,M,M,M,M,M,65,M,M
2219502,7/14/2022 18:00,3.1,,M,0.205,,M,272,W,5.3,5.8909998,,5.6,,1.29,0.09,,4.39,0.04,,3.46,0.06,,2.70,0.11,,2.81,0.09,,4.93,0.34,,7.17,0.46,,7.43,0.06,,1.72,323.50,,,,filtered,1.20,19.57,16.32,18.10,,,0,61,16,23,M,46,0,M
